,Year,Group,Product_Class,customer_category,Profit_Margin,Product Class,Category,Target Margin,Margin Difference(%)
2,2020,Const Supplies CS/SD,ABRBEN,Best,31.144927536231883,ABRBEN,Best,34.0,-2.855072463768117
5,2020,Const Supplies CS/SD,ABRCAR,Best,12.187484279893354,ABRCAR,Best,34.0,-21.812515720106646
7,2020,Const Supplies CS/SD,ABRCON,Best,21.50717518068862,ABRCON,Best,34.0,-12.49282481931138
11,2020,Const Supplies CS/SD,ABRCUT,Best,16.883116883116884,ABRCUT,Best,34.0,-17.116883116883116
12,2020,Const Supplies CS/SD,ABRFLD,Best,23.860540192847992,ABRFLD,Best,34.0,-10.139459807152008
15,2020,Const Supplies CS/SD,ABRFLW,Best,24.781007363876284,ABRFLW,Best,34.0,-9.218992636123716
18,2020,Const Supplies CS/SD,ABRHAN,Best,19.11764705882353,ABRHAN,Best,34.0,-14.882352941176471
21,2020,Const Supplies CS/SD,ABRMAN,Best,28.05429864253394,ABRMAN,Best,34.0,-5.94570135746606
24,2020,Const Supplies CS/SD,ABRMIS,Best,25.501432664756443,ABRMIS,Best,34.0,-8.498567335243557
27,2020,Const Supplies CS/SD,ABRPAD,Best,22.87449392712551,ABRPAD,Best,34.0,-11.12550607287449
30,2020,Const Supplies CS/SD,ABRRFD,Best,29.736842105263158,ABRRFD,Best,34.0,-4.2631578947368425
33,2020,Const Supplies CS/SD,ABRROL,Best,31.379310344827584,ABRROL,Best,34.0,-2.6206896551724164
36,2020,Const Supplies CS/SD,ABRSAN,Best,28.4,ABRSAN,Best,34.0,-5.600000000000001
41,2020,Const Supplies CS/SD,BRUBRO,Best,16.959064327485383,BRUBRO,Best,38.0,-21.040935672514617
45,2020,Const Supplies CS/SD,BRUHAN,Best,19.375,BRUHAN,Best,34.0,-14.625
48,2020,Const Supplies CS/SD,BRUMIS,Best,30.85013987792472,BRUMIS,Best,38.0,-7.149860122075282
51,2020,Const Supplies CS/SD,BRUPAI,Best,26.358695652173914,BRUPAI,Best,38.0,-11.641304347826086
54,2020,Const Supplies CS/SD,BRUTUB,Best,31.428571428571438,BRUTUB,Best,34.0,-2.5714285714285623
57,2020,Const Supplies CS/SD,CHEABS,Best,20.68601583113457,CHEABS,Best,34.0,-13.313984168865431
60,2020,Const Supplies CS/SD,CHEADH,Best,19.99087174806024,CHEADH,Best,34.0,-14.00912825193976
65,2020,Const Supplies CS/SD,CHECHA,Best,17.116017626290784,CHECHA,Best,34.0,-16.883982373709216
68,2020,Const Supplies CS/SD,CHECLE,Best,19.66666666666666,CHECLE,Best,34.0,-14.33333333333334
71,2020,Const Supplies CS/SD,CHECOO,Best,37.56379603550408,CHECOO,Best,34.0,3.563796035504083
74,2020,Const Supplies CS/SD,CHELAY,Best,17.647058823529417,CHELAY,Best,34.0,-16.352941176470583
77,2020,Const Supplies CS/SD,CHELUB,Best,15.514699552341597,CHELUB,Best,34.0,-18.485300447658403
80,2020,Const Supplies CS/SD,CHEMET,Best,18.777317690361166,CHEMET,Best,34.0,-15.222682309638834
