Year,Group,Product_Class,customer_category,Profit_Margin
2020,Const Supplies CS/SD,ABRBEL,Better,27.216163723566712
2020,Const Supplies CS/SD,ABRBEL,Good,27.802865599185917
2020,Const Supplies CS/SD,ABRBEN,Best,34.32697066101096
2020,Const Supplies CS/SD,ABRBEN,Better,24.90549942776678
2020,Const Supplies CS/SD,ABRBEN,Good,19.746782567992433
2020,Const Supplies CS/SD,ABRCAR,Best,11.348415375709608
2020,Const Supplies CS/SD,ABRCAR,Good,25.714285714285715
2020,Const Supplies CS/SD,ABRCON,Best,28.51798603605279
2020,Const Supplies CS/SD,ABRCON,Better,23.705570144437008
2020,Const Supplies CS/SD,ABRCON,Good,29.928588756624592
2020,Const Supplies CS/SD,ABRCUP,Good,23.778999369947975
2020,Const Supplies CS/SD,ABRCUT,Best,16.883116883116884
2020,Const Supplies CS/SD,ABRFLD,Best,23.860540192847992
2020,Const Supplies CS/SD,ABRFLD,Better,25.882309101101814
2020,Const Supplies CS/SD,ABRFLD,Good,25.4307022113694
2020,Const Supplies CS/SD,ABRFLW,Best,23.38769608375945
2020,Const Supplies CS/SD,ABRFLW,Better,28.065035076131466
2020,Const Supplies CS/SD,ABRFLW,Good,29.19598722748279
2020,Const Supplies CS/SD,ABRHAN,Best,19.11764705882353
2020,Const Supplies CS/SD,ABRHAN,Better,28.94624290225061
2020,Const Supplies CS/SD,ABRHAN,Good,29.88552731346699
2020,Const Supplies CS/SD,ABRMAN,Best,27.767038967669613
2020,Const Supplies CS/SD,ABRMAN,Better,21.143872917898754
2020,Const Supplies CS/SD,ABRMAN,Good,28.795666586673004
2020,Const Supplies CS/SD,ABRMIS,Best,26.79111871629065
2020,Const Supplies CS/SD,ABRMIS,Better,21.648928871687957
2020,Const Supplies CS/SD,ABRMIS,Good,27.623967432861896
2020,Const Supplies CS/SD,ABRPAD,Best,25.26393774311829
2020,Const Supplies CS/SD,ABRPAD,Better,15.783710082952158
2020,Const Supplies CS/SD,ABRPAD,Good,32.539232698871835
2020,Const Supplies CS/SD,ABRRFD,Best,29.736842105263158
2020,Const Supplies CS/SD,ABRRFD,Better,30.69036579518627
2020,Const Supplies CS/SD,ABRRFD,Good,32.46528982054642
2020,Const Supplies CS/SD,ABRROL,Best,29.028183150472522
2020,Const Supplies CS/SD,ABRROL,Better,25.554272395125952
2020,Const Supplies CS/SD,ABRROL,Good,24.27823661277761
2020,Const Supplies CS/SD,ABRSAN,Best,28.82701612903226
2020,Const Supplies CS/SD,ABRSAN,Better,27.792179330475747
2020,Const Supplies CS/SD,ABRSAN,Good,20.60982373967706
2020,Const Supplies CS/SD,APPFIT,Better,20.0
2020,Const Supplies CS/SD,APPREG,Better,-10.578842315369268
2020,Const Supplies CS/SD,BRUBRO,Best,15.749626479357943
2020,Const Supplies CS/SD,BRUBRO,Better,33.81453343529803
2020,Const Supplies CS/SD,BRUBRO,Good,29.07975710755693
2020,Const Supplies CS/SD,BRUCUC,Good,35.355821110423754
2020,Const Supplies CS/SD,BRUHAN,Best,14.857402332096676
2020,Const Supplies CS/SD,BRUHAN,Better,18.191206578114087
2020,Const Supplies CS/SD,BRUHAN,Good,18.917548094543687
2020,Const Supplies CS/SD,BRUMIS,Best,33.41281122011267
2020,Const Supplies CS/SD,BRUMIS,Better,20.772044431047657
2020,Const Supplies CS/SD,BRUMIS,Good,29.586428853896642
2020,Const Supplies CS/SD,BRUPAI,Best,26.81762293456446
2020,Const Supplies CS/SD,BRUPAI,Better,30.844810852774845
2020,Const Supplies CS/SD,BRUPAI,Good,32.8410989386109
2020,Const Supplies CS/SD,BRUTUB,Best,37.53987489384303
2020,Const Supplies CS/SD,BRUTUB,Better,26.495589053165123
2020,Const Supplies CS/SD,BRUTUB,Good,31.086749011711287
2020,Const Supplies CS/SD,CHEABS,Best,14.351200126996355
2020,Const Supplies CS/SD,CHEABS,Better,28.366429448941428
2020,Const Supplies CS/SD,CHEABS,Good,24.91450879377792
2020,Const Supplies CS/SD,CHEADH,Best,22.840438946784705
2020,Const Supplies CS/SD,CHEADH,Better,26.229750638087033
2020,Const Supplies CS/SD,CHEADH,Good,29.74383966250869
2020,Const Supplies CS/SD,CHECAU,Better,28.03076934841378
2020,Const Supplies CS/SD,CHECAU,Good,27.32072793471181
2020,Const Supplies CS/SD,CHECHA,Best,18.51300358593636
2020,Const Supplies CS/SD,CHECHA,Better,29.492975092763622
2020,Const Supplies CS/SD,CHECHA,Good,30.600245508261835
2020,Const Supplies CS/SD,CHECLE,Best,21.746992813530696
2020,Const Supplies CS/SD,CHECLE,Better,30.0950746851704
2020,Const Supplies CS/SD,CHECLE,Good,26.581847378484255
2020,Const Supplies CS/SD,CHECOO,Best,37.56379603550408
