Quarter,Group,customer_category,Product_Class,Stock,Profit_Margin
2020Q1,Const Supplies CS/SD,Best,ABRBEN,N,40.69105691056911
2020Q1,Const Supplies CS/SD,Best,ABRCAR,N,15.048543689320391
2020Q1,Const Supplies CS/SD,Best,ABRCON,N,30.485714285714288
2020Q1,Const Supplies CS/SD,Best,ABRFLW,N,15.965501053746042
2020Q1,Const Supplies CS/SD,Best,ABRFLW,Y,29.25089782602736
2020Q1,Const Supplies CS/SD,Best,ABRMAN,N,28.05429864253394
2020Q1,Const Supplies CS/SD,Best,ABRMIS,N,41.672284959829206
2020Q1,Const Supplies CS/SD,Best,ABRRFD,N,34.0
2020Q1,Const Supplies CS/SD,Best,ABRROL,N,31.379310344827584
2020Q1,Const Supplies CS/SD,Best,ABRSAN,N,28.8
2020Q1,Const Supplies CS/SD,Best,BRUBRO,N,16.959064327485383
2020Q1,Const Supplies CS/SD,Best,BRUBRO,Y,12.94646121491547
2020Q1,Const Supplies CS/SD,Best,BRUHAN,N,12.804703777187761
2020Q1,Const Supplies CS/SD,Best,BRUHAN,Y,-16.807387862796823
2020Q1,Const Supplies CS/SD,Best,BRUMIS,N,42.97007340485602
2020Q1,Const Supplies CS/SD,Best,BRUPAI,N,20.75351213282248
2020Q1,Const Supplies CS/SD,Best,BRUPAI,Y,23.809523809523807
2020Q1,Const Supplies CS/SD,Best,BRUTUB,N,44.24778761061948
2020Q1,Const Supplies CS/SD,Best,CHEABS,N,1.3136288998357977
2020Q1,Const Supplies CS/SD,Best,CHEABS,Y,20.68601583113457
2020Q1,Const Supplies CS/SD,Best,CHECHA,N,27.58620689655172
2020Q1,Const Supplies CS/SD,Best,CHECLE,N,25.04731861198737
2020Q1,Const Supplies CS/SD,Best,CHELAY,N,28.698224852071007
2020Q1,Const Supplies CS/SD,Best,CHELAY,Y,31.774193548387096
2020Q1,Const Supplies CS/SD,Best,CHELUB,N,14.97005988023952
2020Q1,Const Supplies CS/SD,Best,CHELUB,Y,25.348684210526315
2020Q1,Const Supplies CS/SD,Best,CHEMET,N,17.989417989417984
2020Q1,Const Supplies CS/SD,Best,CHEMET,Y,16.823612087139846
2020Q1,Const Supplies CS/SD,Best,CHEMIS,N,24.79230432881504
2020Q1,Const Supplies CS/SD,Best,CHEMIS,Y,23.36690647482015
2020Q1,Const Supplies CS/SD,Best,CHEOIL,N,12.131882202304734
2020Q1,Const Supplies CS/SD,Best,CHEPAI,N,25.14124293785311
2020Q1,Const Supplies CS/SD,Best,CHETEF,Y,24.765325670498083
2020Q1,Const Supplies CS/SD,Best,CMPRSL,N,22.002220207537967
2020Q1,Const Supplies CS/SD,Best,CUTARB,N,24.779874213836475
2020Q1,Const Supplies CS/SD,Best,CUTARB,Y,12.21555877744094
2020Q1,Const Supplies CS/SD,Best,CUTBAN,N,26.021776432927112
2020Q1,Const Supplies CS/SD,Best,CUTBIT,N,26.071428571428573
2020Q1,Const Supplies CS/SD,Best,CUTBIT,Y,31.000594255701223
2020Q1,Const Supplies CS/SD,Best,CUTBUR,N,16.01066327932832
2020Q1,Const Supplies CS/SD,Best,CUTBUR,Y,15.966609248708096
2020Q1,Const Supplies CS/SD,Best,CUTCIR,N,27.991807971812378
2020Q1,Const Supplies CS/SD,Best,CUTCIR,Y,32.16636452377632
2020Q1,Const Supplies CS/SD,Best,CUTCUT,N,25.000000000000004
2020Q1,Const Supplies CS/SD,Best,CUTDIE,N,49.62682487233404
2020Q1,Const Supplies CS/SD,Best,CUTFIL,N,22.024089816352323
2020Q1,Const Supplies CS/SD,Best,CUTFIL,Y,24.28571428571429
2020Q1,Const Supplies CS/SD,Best,CUTHOL,N,11.59793814432989
2020Q1,Const Supplies CS/SD,Best,CUTINS,N,30.37095358008471
2020Q1,Const Supplies CS/SD,Best,CUTMIS,N,15.605782312925168
2020Q1,Const Supplies CS/SD,Best,CUTPUN,N,18.0341319330489
2020Q1,Const Supplies CS/SD,Best,CUTREA,N,31.44366197183099
2020Q1,Const Supplies CS/SD,Best,CUTTAP,N,35.890014471780034
2020Q1,Const Supplies CS/SD,Best,CUTTAP,Y,36.07035928143712
2020Q1,Const Supplies CS/SD,Best,CUTWHL,N,20.11834319526628
2020Q1,Const Supplies CS/SD,Best,ELEADP,N,34.61928934010152
2020Q1,Const Supplies CS/SD,Best,ELEADP,Y,15.96638655462184
2020Q1,Const Supplies CS/SD,Best,ELEBAT,N,17.64705882352941
2020Q1,Const Supplies CS/SD,Best,ELEBAT,Y,26.315789473684205
2020Q1,Const Supplies CS/SD,Best,ELEBUL,N,32.14550853749072
2020Q1,Const Supplies CS/SD,Best,ELEBUL,Y,40.54054054054054
2020Q1,Const Supplies CS/SD,Best,ELECAB,N,13.383426667611822
2020Q1,Const Supplies CS/SD,Best,ELEEXT,N,24.588477366255148
2020Q1,Const Supplies CS/SD,Best,ELEEXT,Y,15.96653677022631
2020Q1,Const Supplies CS/SD,Best,ELEGFI,Y,4.80923097855825
2020Q1,Const Supplies CS/SD,Best,ELELIG,N,16.98914704434265
2020Q1,Const Supplies CS/SD,Best,ELELIG,Y,38.1247191011236
2020Q1,Const Supplies CS/SD,Best,ELEMIS,N,26.04501607717042
2020Q1,Const Supplies CS/SD,Best,ELEPLG,N,12.174317431743173
2020Q1,Const Supplies CS/SD,Best,ELETAP,N,25.135135135135137
2020Q1,Const Supplies CS/SD,Best,ELETAP,Y,21.012658227848107
2020Q1,Const Supplies CS/SD,Best,EQUHEA,N,21.90923317683881
2020Q1,Const Supplies CS/SD,Best,EQUJAC,N,30.007178750897346
2020Q1,Const Supplies CS/SD,Best,EQUMIS,N,25.0
2020Q1,Const Supplies CS/SD,Best,FASANC,N,57.00560448358687
2020Q1,Const Supplies CS/SD,Best,FASBOL,N,23.99140325700744
2020Q1,Const Supplies CS/SD,Best,HANBAG,N,24.453125000000004
2020Q1,Const Supplies CS/SD,Best,HANBAG,Y,3.60587002096436
2020Q1,Const Supplies CS/SD,Best,HANBAR,N,20.95519270738248
2020Q1,Const Supplies CS/SD,Best,HANBAR,Y,31.295938643282753
2020Q1,Const Supplies CS/SD,Best,HANBOX,N,20.0
2020Q1,Const Supplies CS/SD,Best,HANCHI,N,43.95628733421079
2020Q1,Const Supplies CS/SD,Best,HANCLM,N,38.28341901478804
2020Q1,Const Supplies CS/SD,Best,HANFLA,Y,36.60975609756096
2020Q1,Const Supplies CS/SD,Best,HANGAU,N,16.00004125228176
2020Q1,Const Supplies CS/SD,Best,HANGUN,N,15.952782462057325
2020Q1,Const Supplies CS/SD,Best,HANGUN,Y,45.945378151260506
